one,two,three,four,key
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
0.467976,-0.038649,-0.295344,-1.824726,L
-0.358893,1.404453 ,0.704965,-0.200638,B
-0.501840,0.659254,-0.421691,-0.057688,G
0.204886,1.074134,1.388361,-0.982404,R
0.354628,-0.133116,0.283763,-0.837063,Q
-0.479893,-0.650419,0.745152,-0.646038,E
0.523331,0.787112,0.486066,1.093156,K
-0.362559,0.598894,-1.843201,0.887292,G
